nodes,flows,pps,pkt_size,tx_range,coverage_mult,sim_time,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J
40,40,300,1024,3,1,40,4.91275,17.6865,97.7738,1.63452,1378.71
40,40,300,1024,4,1,40,3.68904,7.7056,99.2038,0.471254,1361.91
40,40,300,1024,5,1,40,3.69362,3.72995,98.8302,0.918088,1359.75
80,10,500,1024,2,1,40,3.32677,20.7743,98.0237,1.10064,2741.78
40,40,400,1024,2,1,40,6.1338,33.5555,97.209,2.1729,1388.61
80,10,500,1024,3,1,40,2.2086,13.4737,97.1419,1.77871,2723.26
40,40,400,1024,3,1,40,4.6948,10.0221,98.5034,0.780267,1373.15
40,40,400,1024,4,1,40,5.02469,13.7932,98.3934,1.18923,1379.26
40,40,400,1024,5,1,40,4.93041,11.4259,98.5992,0.991067,1375.57
40,40,500,1024,2,1,40,5.55287,18.0309,98.0955,1.26477,1383.49
40,40,500,1024,3,1,40,6.74188,42.7291,97.08,2.29123,1392.15
40,40,500,1024,4,1,40,5.86629,24.0066,97.8665,1.42493,1389.72
40,40,500,1024,5,1,40,5.71334,21.8,97.7526,1.66551,1385.86
40,50,100,1024,2,1,40,1.10561,2.14052,99.5033,0.430464,1331.77
40,50,100,1024,3,1,40,1.20112,2.18224,99.588,0.366189,1332.26
40,50,100,1024,4,1,40,1.1949,1.70653,99.5633,0.383054,1332.24
40,50,100,1024,5,1,40,1.1949,1.70629,99.5633,0.383054,1332.24
40,50,200,1024,2,1,40,2.21381,1.67004,99.6637,0.303068,1342.75
40,50,200,1024,3,1,40,2.37614,2.79577,99.4468,0.44876,1344.15
40,50,200,1024,4,1,40,2.39684,3.14935,99.2591,0.412434,1345.89
40,50,200,1024,5,1,40,2.39218,5.09587,99.0061,0.779817,1348.64
40,50,300,1024,2,1,40,3.14915,3.07297,98.6992,0.817012,1353.55
40,50,300,1024,3,1,40,4.91275,17.6865,97.7738,1.63452,1378.71
40,50,300,1024,4,1,40,3.68904,7.7056,99.2038,0.471254,1361.91
40,50,300,1024,5,1,40,3.69362,3.72995,98.8302,0.918088,1359.75
40,50,400,1024,2,1,40,6.1338,33.5555,97.209,2.1729,1388.61
40,50,400,1024,3,1,40,4.6948,10.0221,98.5034,0.780267,1373.15
40,50,400,1024,4,1,40,5.02469,13.7932,98.3934,1.18923,1379.26
40,50,400,1024,5,1,40,4.93041,11.4259,98.5992,0.991067,1375.57
40,50,500,1024,2,1,40,5.55287,18.0309,98.0955,1.26477,1383.49
40,50,500,1024,3,1,40,6.74188,42.7291,97.08,2.29123,1392.15
40,50,500,1024,4,1,40,5.86629,24.0066,97.8665,1.42493,1389.72
40,50,500,1024,5,1,40,5.71334,21.8,97.7526,1.66551,1385.86
80,10,500,1024,4,1,40,3.01106,21.9537,97.3202,1.89631,2742.73
80,10,500,1024,5,1,40,2.15094,17.0031,96.8515,2.51632,2724.96
80,20,100,1024,2,1,40,0.525225,12.1212,97.0861,2.05298,2694.44
80,20,100,1024,3,1,40,0.562751,9.68971,97.4846,2.07246,2693.87
80,20,100,1024,4,1,40,0.552484,6.14555,97.9268,1.65209,2692.45
80,20,100,1024,5,1,40,0.579923,10.6199,97.2116,2.01128,2695.01
80,20,200,1024,2,1,40,1.10186,20.7609,96.5284,2.08615,2705.85
80,20,200,1024,3,1,40,1.23155,15.0346,98.158,1.1821,2705.61
80,20,200,1024,4,1,40,1.37669,22.0179,96.8058,2.17642,2711.45
80,20,200,1024,5,1,40,1.39819,20.1901,97.1989,2.23961,2712.58
80,20,300,1024,2,1,40,1.84134,23.342,96.7879,2.42114,2721.65
80,20,300,1024,3,1,40,2.17196,21.1443,97.2575,2.16037,2725.99
80,20,300,1024,4,1,40,2.21437,20.4846,97.7978,1.27728,2731.53
80,20,300,1024,5,1,40,2.17775,20.5383,97.8875,1.42462,2726.45
80,20,400,1024,2,1,40,2.39833,22.3556,97.039,2.2771,2735.09
80,20,400,1024,3,1,40,2.64101,24.2199,96.7088,2.66605,2740.05
80,20,400,1024,4,1,40,3.20714,31.7283,97.3898,1.83581,2757.83
80,20,400,1024,5,1,40,3.28578,32.4031,97.0363,2.08317,2761.32
80,20,500,1024,2,1,40,3.0128,21.6127,97.6388,1.56533,2745.03
80,20,500,1024,3,1,40,2.95105,20.5685,97.7167,1.88463,2736.97
80,20,500,1024,4,1,40,3.5798,29.3276,97.8818,1.27795,2758.45
80,20,500,1024,5,1,40,3.40144,30.0823,96.3625,3.02952,2759.99
80,30,100,1024,2,1,40,0.399135,8.52912,95.3407,3.48356,2691.12
80,30,100,1024,3,1,40,0.639365,24.9465,95.5155,3.11611,2697.75
